id,crystal_structure(core/shell),Space group(core),Space group(shell),chemical formula,Structure,length (D),width,depth,shape,core_1,core_2(shell),Name,synonyms,Cas rn (core_1),Cas rn (core_2),Exp type,Scale bar (nm),microphotography pic,Spectrum,JCPDS card (core),JCPDS card (shell),X-ray tube (nm),Instrument,Crystalline size,Material fraction,curie temperature (K),temperature (K),H-range min (kOe),H-range max(kOe),Ms (emu/g),Hc (Oe),Mr (emu/g),Instrument,exchange bias shift Hb or Heb(Oe),vertical loop shift M vsl (emu/g),M-H curve,cooling fields (mT),FC field(T),"Hc of measurement (kOe) ",applied field(kOe),Article id,Method,Tb,Keff (effective anisotropy constant) (erg/cm3),Keff (Jm^-3),"Total magnetization ",Atomic mass ratio,Number of magnetic ions per unit cell,get_exchange_group_info,number_of_unique_magnetic_sites,number_of_magnetic_sites
138,cubic,pm3m,0,LaFeO3,LaFeO3,49,49,49,sphere,La1Fe1O3,0,LFO,lanthanum ferric oxide,12022-43-4,0,FESEM,20,1,1,,,0.154,,38.91,LaFeO3,,10,-20,20,,1125,,(PPMS) from Quantum Design,-2120,,,8000,8,80,1,doi.org/10.1007/s10948-017-4218-y,PVA-based sol-gel,,,,,,,,,
139,cubic,pm3m,0,LaFeO3,LaFeO3,64,64,64,sphere,La1Fe1O3,0,LFO,lanthanum ferric oxide,12022-43-4,0,FESEM,20,1,1,,,0.154,,47.57,LaFeO3,,10,-20,20,,750,,(PPMS) from Quantum Design,-800,,,8000,8,80,1,doi.org/10.1007/s10948-017-4218-y,PVA-based sol-gel,,,,,,,,,
140,orthorhombic,pbnm,0,LaFeO3,LaFeO3,37.86,37.86,37.86,sphere,La1Fe1O3,0,lanthanum iron oxide,lanthanum ferrite,12022-43-4,0,SEM,100,1,1,,,,,49.14,LaFeO3,,300,-10,10,0.0045,5275.5,0.0037,,-511.81,0,1,,,,1,doi.org/10.1007/s10948-016-3520-4,mechanochemical activation  method with oxide precursors  at low temperature,,,,,,,,,
141,orthorhombic,pbnm,0,LaFeO3,LaFeO3,43,43,43,sphere,La1Fe1O3,0,lanthanum iron oxide,lanthanum ferrite,12022-43-4,0,SEM,100,1,1,,,,,,,,10,-10,10,0.0047,1063.17,0.00225,,-1972,0.000145,1,800,0.8,8,1,doi.org/10.1007/s10948-016-3520-4,mechanochemical activation  method with oxide precursors  at low temperature,,,,,,,,,
142,"cubic, cubic",fm3m,fd3m,Au-Fe3O4,Au-Fe3O4,11.9,11.9,11.9,sphere,Au1,Fe3O4,,,7440-57-5,1317-61-9,TEM,15,1,,,,,,,,,2,-60,60,,3257.5,,,-1814.6,,1,5000,5,50,0.5,doi.org/10.1103/PhysRevB.92.054416,,285,135000,,,,,,,
143,"cubic, cubic",fm3m,fd3m,Au-Fe3O4,Au-Fe3O4,11.9,11.9,11.9,sphere,Au1,Fe3O4,,,7440-57-5,1317-61-9,TEM,15,1,,,,,,,,,2,-60,60,,,,,-1350,,1,5000,5,50,0.5,doi.org/10.1103/PhysRevB.92.054416,,285,135000,,,,,,,
144,"cubic, cubic",fm3m,fd3m,Au-Fe3O4,Au-Fe3O4,10.5,10.5,10.5,sphere,Au1,Fe3O4,,,7440-57-5,1317-61-9,,,,,,,,,,,,100,-60,60,,502.31,,,-502,,1,5000,5,50,0.5,doi.org/10.1103/PhysRevB.92.054416,,285,135000,,,,,,,
145,cubic,fd3m,0,Fe3O4,Fe3O4,9.8,9.8,9.8,sphere,Fe3O4,0,iron oxide,ferrosoferric oxide,1317-61-9,0,,,,,,,,,,,,200,-60,60,,181,,,-181,,,5000,5,50,0.5,doi.org/10.1103/PhysRevB.92.054416,,,,,,,,,,
146,hexagonal,,0,Bi0.9Gd0.1Fe0.9Ti0.1O3,Bi0.9Gd0.1Fe0.9Ti0.1O3,12,12,12,sphere,Bi0.9Gd0.1Fe0.9Ti0.1O3,0,,,,0,TEM,100,1,1,,,,,,Bi0.9Gd0.1Fe0.9Ti0.1O3,,150,-30,30,2.6,6000,0.8,Quantum Design MPMS-XL7,-79,0.006,,6000,6,60,0.5,dx.doi.org/10.1063/1.4926424,,,,,,,,,,
147,orthorhombic,pnma,0,Nd0.78Sr0.22CoO3,Nd0.78Sr0.22CoO3,89,89,89,sphere,Nd0.78Sr0.22CoO3,0,,,,0,FESEM,3000,1,1,,,,Bruker D8 Advance,89,Nd0.78Sr0.22CoO3,,2,-70,70,29.4,6088.8,1,,-149.24,0,1,200,0.2,2,0.2,doi.org/10.1039/d2ra04454d,sol–gel,,,,,,,,,
148,orthorhombic,pnma,0,Nd0.78Sr0.22CoO3,Nd0.78Sr0.22CoO3,89,89,89,sphere,Nd0.78Sr0.22CoO3,0,,,,,,,,,,,,,,,,8,-70,70,21.626,8899.6785,1.7,,-30.67,0,,5000,5,50,0.2,doi.org/10.1039/d2ra04454d,sol–gel,,,,,,,,,
149,orthorhombic,pnma,0,Nd0.78Sr0.22CoO3,Nd0.78Sr0.22CoO3,90,90,90,sphere,Nd0.78Sr0.22CoO3,0,,,,0,FESEM,3000,1,1,,,,Bruker D8 Advance,89,Nd0.78Sr0.22CoO3,,10,-70,70,20.4,6342.6,2.536,,-402.9,0,1,5000,5,50,0.2,doi.org/10.1039/d2ra04454d,sol–gel,,,,,,,,,
150,orthorhombic,pnma,0,Nd0.78Sr0.22CoO3,Nd0.78Sr0.22CoO3,89,89,89,sphere,Nd0.78Sr0.22CoO3,0,,,,0,FESEM,3000,1,1,,,,Bruker D8 Advance,89,Nd0.78Sr0.22CoO3,,50,-70,70,13.44,2142.85,3.33,,,0,1,5000,5,50,0.2,doi.org/10.1039/d2ra04454d,sol–gel,,,,,,,,,
151,orthorhombic,pnma,0,Nd0.78Sr0.22CoO3,Nd0.78Sr0.22CoO3,89,89,89,sphere,Nd0.78Sr0.22CoO3,0,,,,,,,,,,,,,,,,75,-70,70,10.1,2144.5,3.768,,,0,,5000,5,50,0.2,doi.org/10.1039/d2ra04454d,sol–gel,,,,,,,,,
152,orthorhombic,pnma,0,Nd0.78Sr0.22CoO3,Nd0.78Sr0.22CoO3,89,89,89,sphere,Nd0.78Sr0.22CoO3,0,,,,0,FESEM,3000,1,1,,,,Bruker D8 Advance,89,Nd0.78Sr0.22CoO3,,100,-70,70,8.6,1458.4,3.768,,,0,,5000,5,50,0.2,doi.org/10.1039/d2ra04454d,sol–gel,,,,,,,,,
153,"cubic, fcc",fd3m,fm3m,Fe3O4/CoO,Fe3O4/CoO,6.74,6.74,6.74,sphere,Fe3O4,Co1O1,,,1317-61-9,1307-96-6,,,,,,,,,,,,5,-45,45,,20800,,,-2800,,,10000,10,100,,doi.org/10.1007/s11051-019-4655-6,,,,,,,,,,
154,"cubic, fcc",fd3m,fm3m,Fe3O4/CoO,Fe3O4/CoO,6.74,6.74,6.74,sphere,Fe3O4,Co1O1,,,1317-61-9,1307-96-6,,,,,,,,,,,,5,-45,45,,17600,,,-2600,,,10000,10,100,,doi.org/10.1007/s11051-019-4655-6,,,,,,,,,,
155,cubic,fd3m,0,CoFe2O4,CoFe2O4,9.3,9.3,9.3,sphere,Co1Fe2O4,0,CFO,cobalt iron oxide,12052-28-7,0,TEM,20,1,1,,,,Panalytical X’pert Pro,9.3,CoFe2O4,793,5,-60,60,86.9,9460,48,Quantum Design MPMS-5S SQUID magnetometer,0,0,1,0,0,0,0.2,doi.org/10.1002/ppsc.201800290,polyol method,250,,,,,,,,
156,"cubic, cubic",fd3m,fm3m,CoFe2O4-CoO,CoFe2O4-CoO,12.4,12.4,12.4,sphere,Co1Fe2O4,Co1O1,CFO-CO,,12052-28-7,1307-96-6,TEM,20,1,1,,,,Panalytical X’pert Pro,12.4,CoFe2O4-CoO,850,5,-60,60,55.3,11900,30,Quantum Design MPMS-5S SQUID magnetometer,0,0,1,0,0,0,0.2,doi.org/10.1002/ppsc.201800290,polyol method,350,,,,,,,,
157,cubic,fd3m,0,CoFe2O4,CoFe2O4,9.3,9.3,9.3,sphere,Co1Fe2O4,0,cobalt ferrite,cobalt iron oxide,12052-28-7,0,TEM,20,1,1,,,,Panalytical X’pert Pro,9.3,CoFe2O4,793,5,-60,60,86.9,9470,48,Quantum Design MPMS-5S SQUID magnetometer,0,0,1,7000,7,70,0.2,doi.org/10.1002/ppsc.201800290,polyol method,250,,,,,,,,
158,"cubic, cubic",fd3m,fm3m,CoFe2O4-CoO,CoFe2O4-CoO,12.4,12.4,12.4,sphere,Co1Fe2O4,Co1O1,CFO-CO,,12052-28-7,1307-96-6,TEM,20,1,1,,,,Panalytical X’pert Pro,12.4,CoFe2O4-CoO,850,5,-60,60,55.7,13950,39.1,Quantum Design MPMS-5S SQUID magnetometer,-3650,0,1,7000,7,70,0.2,doi.org/10.1002/ppsc.201800290,polyol method,350,,,,,,,,
159,"cubic, cubic",im3m,fm3m,Cu0.98/Fe0.02O,Fe/CuO,12.6,12.6,12.6,sphere,Fe1,Сu1O1,,,,0,,,,,,,,,,,,300,-80,80,0.025,14,0.0003,Quantum Design MPMS-3 SQUID-VSM,,,1,0,0,0,0.25,doi.org/10.1063/5.0008366,freeze-drying a mixture of copper and iron acetates followed by heat treatment,,,,,,,,,
160,"cubic, cubic",im3m,fm3m,Cu0.96/Fe0.04O,Fe/CuO,7.9,7.9,7.9,sphere,Fe1,Сu1O1,,,,0,TEM,20,1,,,,,,,,,300,-80,80,0.172,17,0.0022,Quantum Design MPMS-3 SQUID-VSM,,,1,0,0,0,0.25,doi.org/10.1063/5.0008366,freeze-drying a mixture of copper and iron acetates followed by heat treatment,,,,,,,,,
161,"cubic, cubic",im3m,fm3m,Cu0.98/Fe0.02O,Fe/CuO,12.6,12.6,12.6,sphere,Fe1,Сu1O1,,,,0,,,,,,,,,,,,10,-80,80,0.115,761,0.012,Quantum Design MPMS-3 SQUID-VSM,,,1,,,,0.25,doi.org/10.1063/5.0008366,freeze-drying a mixture of copper and iron acetates followed by heat treatment,,,,,,,,,
162,"cubic, cubic",im3m,fm3m,Cu0.96/Fe0.04O,Fe/CuO,7.9,7.9,7.9,sphere,Fe1,Сu1O1,,,,0,TEM,20,1,,,,,,,,,10,-80,80,0.344,995,0.082,Quantum Design MPMS-3 SQUID-VSM,,,1,,,,0.25,doi.org/10.1063/5.0008366,freeze-drying a mixture of copper and iron acetates followed by heat treatment,,,,,,,,,
163,"cubic, cubic",im3m,fm3m,Cu0.98/Fe0.02O,Fe/CuO,12.6,12.6,12.6,sphere,Fe1,Сu1O1,,,,0,,,,,,,,,,,,100,-80,80,,91,0.0386,Quantum Design MPMS-3 SQUID-VSM,-249,,1,,,,0.25,doi.org/10.1063/5.0008366,freeze-drying a mixture of copper and iron acetates followed by heat treatment,,,,,,,,,
164,"cubic, cubic",im3m,fm3m,Cu0.96/Fe0.04O,Fe/CuO,7.9,7.9,7.9,sphere,Fe1,Сu1O1,,,,0,TEM,20,1,,,,,,,,,100,-80,80,,25,0.132,Quantum Design MPMS-3 SQUID-VSM,-94,,1,,,,0.25,doi.org/10.1063/5.0008366,freeze-drying a mixture of copper and iron acetates followed by heat treatment,,,,,,,,,
165,"cubic, cubic",im3m,fm3m,Cu0.98/Fe0.02O,Fe/CuO,12.6,12.6,12.6,sphere,Fe1,Сu1O1,,,,0,,,,,,,,,,,,5,-80,80,,247,0.0193,Quantum Design MPMS-3 SQUID-VSM,-1335,,1,,,,0.01,doi.org/10.1063/5.0008366,freeze-drying a mixture of copper and iron acetates followed by heat treatment,,,,,,,,,
166,"cubic, cubic",im3m,fm3m,Cu0.96/Fe0.04O,Fe/CuO,7.9,7.9,7.9,sphere,Fe1,Сu1O1,,,,0,TEM,20,1,,,,,,,,,5,-80,80,,41,0.027,Quantum Design MPMS-3 SQUID-VSM,-1318,,1,,,,0.01,doi.org/10.1063/5.0008366,freeze-drying a mixture of copper and iron acetates followed by heat treatment,,,,,,,,,
167,rhombohedral,r3c,0,Fe2O3,α-Fe2O3,17,17,17,hexahedron,Fe2O3,0,hematite,iron oxide,1309-37-1,0,TEM,,1,1,,,,Shimadzu-6100 powder XRD diffractometer,21,Fe2O3,,30,-40,40,,115.005,0.015,PPMS from Quantum Design,-131,0.00027,1,0,0,0,,doi.org/10.3934/matersci.2022005,sol-gel,,,,,,,,,
168,rhombohedral,r3c,0,Fe2O3,α-Fe2O3,17,17,17,hexahedron,Fe2O3,0,hematite,iron oxide,1309-37-1,0,TEM,,1,1,,,,Shimadzu-6100 powder XRD diffractometer,21,Fe2O3,,30,-40,40,,125.23,0.002,PPMS from Quantum Design,-165.23,0.00247,1,0,0,0,,doi.org/10.3934/matersci.2022005,sol-gel,,,,,,,,,
169,rhombohedral,r3c,0,Fe2O3,α-Fe2O3,17,17,17,hexahedron,Fe2O3,0,hematite,iron oxide,1309-37-1,0,TEM,,1,1,,,,Shimadzu-6100 powder XRD diffractometer,21,Fe2O3,,100,-40,40,,250,0.0038,PPMS from Quantum Design,-1025,,1,2000,2,20,,doi.org/10.3934/matersci.2022005,sol-gel,,,,,,,,,
170,rhombohedral,r3c,0,Fe2O3,α-Fe2O3,17,17,17,hexahedron,Fe2O3,0,hematite,iron oxide,1309-37-1,0,TEM,,1,1,,,,Shimadzu-6100 powder XRD diffractometer,21,Fe2O3,,200,-40,40,,579.15,0.0851,PPMS from Quantum Design,-113.5,,1,2000,2,20,,doi.org/10.3934/matersci.2022005,sol-gel,,,,,,,,,
171,cubic,fm3m,0,NiO,NiO,4,4,4,quasi-sphere,Ni1O1,Si1O2,nickel oxide,nickel dioxide,1313-99-1,7631-86-9,HRTEM,10,1,1,,,,Philips X’Pert PRO MPD diffractometer,4,NiO,,5,-80,80,5.8,2285.7,0.4,Quantum Design PPMS-9T,-900,0.0107,1,8000,8,80,,doi.org/10.1088/1742-6596/663/1/012001,pyrolysis of a nickel nitrate taking place under N2,,,,,,,,,
172,cubic,fm3m,0,NiO,NiO,9,9,9,quasi-sphere,Ni1O1,Si1O2,nickel oxide,nickel dioxide,1313-99-1,7631-86-9,HRTEM,10,1,1,,,,Philips X’Pert PRO MPD diffractometer,9,NiO,,5,-80,80,3.05,2857.1,0.413,Quantum Design PPMS-9T,-2750,0.186,1,8000,8,80,,doi.org/10.1088/1742-6596/663/1/012001,pyrolysis of a nickel nitrate taking place under N2,,,,,,,,,
173,trigonal,r3с,0,BiFeO3,BiFeO3,20,20,20,sphere,Bi1Fe1O3,0,bismuth iron oxide,bismuth ferrite,1210-42-3,0,TEM,20,1,1,,,,,22,BiFeO3,1103,300,-20,20,1.5745,239.34,0.079,,250,0.079,1,2000,2,20,,doi.org/10.1063/5.0015339,,,,,,,,,,
174,trigonal,r3с,0,BiFeO3,BiFeO3,30,30,30,sphere,Bi1Fe1O3,0,bismuth iron oxide,bismuth ferrite,1210-42-3,0,TEM,100,1,1,,,,,25,BiFeO3,1103,300,-20,20,1.585,1135.5,0.117,,984.37,0.092,1,2000,2,20,,doi.org/10.1063/5.0015339,,,,,,,,,,
175,trigonal,r3с,0,BiFeO3,BiFeO3,40,40,40,sphere,Bi1Fe1O3,0,bismuth iron oxide,bismuth ferrite,1210-42-3,0,TEM,50,1,1,,,,,35,BiFeO3,1103,300,-20,20,1.1835,1041.71,0.119,,-677,0.047,1,2000,2,20,,doi.org/10.1063/5.0015339,,,,,,,,,,
176,orthorhombic,pbnm,0,La0.85Sr0.15FeO3,La0.85Sr0.15FeO3,18.49,18.49,18.49,sphere,La0.85Sr0.15FeO3,0,,perovskite,,0,TEM,100,1,1,,,,SIEMENS D5000,,LaFeO3,555,,-15,15,30,2812.5,17.71,VSM,-812.5,,1,,,,,doi.org/10.1080/14786435.2018.1528015,co-precipitation method using ammonium carbonate,,,,,,,,,
177,"cubic, cubic",fm3m,fd3m,Co/Co3O4,Co/Co3O4,27,27,27,sphere,Co1,Co3O4,,,7440-48-4,12052-28-7,TEM,50,1,,,,,Seifert XRD 3000P,27,Co/Co3O4,,5,-20,20,122,569.343,34.375,"magnetometer of Quantum Design (MPMS, XL)",-124.14,12,1,1000,1,10,,doi.org/10.1103/PhysRevB.94.184410,controlled oxidation,,,,,,,,,
178,"cubic, cubic",fm3m,fd3m,Co/Co3O4,Co/Co3O4,27,27,27,sphere,Co1,Co3O4,,,7440-48-4,12052-28-7,TEM,50,1,,,,,Seifert XRD 3000P,27,Co/Co3O4,,5,-20,20,116,583.34,32.07,"magnetometer of Quantum Design (MPMS, XL)",-123.24,6.25,1,1000,1,10,,doi.org/10.1103/PhysRevB.94.184410,controlled oxidation,,,,,,,,,
179,"cubic, cubic",fm3m,fd3m,Co/Co3O4,Co/Co3O4,27,27,27,sphere,Co1,Co3O4,,,7440-48-4,12052-28-7,TEM,50,1,,,,,Seifert XRD 3000P,27,Co/Co3O4,,5,-20,20,105,626.8,32.9245,"magnetometer of Quantum Design (MPMS, XL)",-148.595,6.031,1,1000,1,10,,doi.org/10.1103/PhysRevB.94.184410,controlled oxidation,,,,,,,,,
180,"cubic, cubic",fm3m,fd3m,Co/Co3O4,Co/Co3O4,27,27,27,sphere,Co1,Co3O4,,,7440-48-4,12052-28-7,TEM,50,1,,,,,Seifert XRD 3000P,27,Co/Co3O4,,5,-20,20,90.42,738.96,27.919,"magnetometer of Quantum Design (MPMS, XL)",-183.82,5.931,1,1000,1,10,,doi.org/10.1103/PhysRevB.94.184410,controlled oxidation,,,,,,,,,
181,"cubic, cubic",fm3m,fd3m,Co/Co3O4,Co/Co3O4,27,27,27,sphere,Co1,Co3O4,,,7440-48-4,12052-28-7,TEM,50,1,,,,,Seifert XRD 3000P,27,Co/Co3O4,,5,-20,20,56.9,724.638,15.923,"magnetometer of Quantum Design (MPMS, XL)",-210.53,3.5,1,1000,1,10,,doi.org/10.1103/PhysRevB.94.184410,controlled oxidation,,,,,,,,,
182,"cubic, cubic",fm3m,fd3m,Co/Co3O4,Co/Co3O4,27,27,27,sphere,Co1,Co3O4,,,7440-48-4,12052-28-7,TEM,50,1,,,,,Seifert XRD 3000P,27,Co/Co3O4,,5,-20,20,32,631.58,6.5,"magnetometer of Quantum Design (MPMS, XL)",-147.36,0.8,1,1000,1,10,,doi.org/10.1103/PhysRevB.94.184410,controlled oxidation,,,,,,,,,
183,"cubic, cubic",fm3m,fd3m,Co/Co3O4,Co/Co3O4,27,27,27,sphere,Co1,Co3O4,,,7440-48-4,12052-28-7,TEM,50,1,,,,,Seifert XRD 3000P,27,Co/Co3O4,,5,-20,20,9.55,222,0.6875,"magnetometer of Quantum Design (MPMS, XL)",-36.6,0.1125,1,1000,1,10,,doi.org/10.1103/PhysRevB.94.184410,controlled oxidation,,,,,,,,,
184,"cubic, cubic",fm3m,fd3m,Co/Co3O4,Co/Co3O4,27,27,27,sphere,Co1,Co3O4,,,7440-48-4,12052-28-7,TEM,50,1,,,,,Seifert XRD 3000P,27,Co/Co3O4,,5,-20,20,4.6,194.724,0.191,"magnetometer of Quantum Design (MPMS, XL)",-26.442,0.032,1,1000,1,10,,doi.org/10.1103/PhysRevB.94.184410,controlled oxidation,,,,,,,,,
185,"cubic, cubic",fm3m,fd3m,Co/Co3O4,Co/Co3O4,27,27,27,sphere,Co1,Co3O4,,,7440-48-4,12052-28-7,TEM,50,1,,,,,Seifert XRD 3000P,27,Co/Co3O4,,5,-20,20,3,265,0.051,"magnetometer of Quantum Design (MPMS, XL)",-21.5,0.005,1,1000,1,10,,doi.org/10.1103/PhysRevB.94.184410,controlled oxidation,,,,,,,,,
186,tetragonal,i41/amd,0,Mn3O4,Mn3O4,30,30,30,sphere,Mn3O4,0,manganese oxide,manganomanganic oxide,1317-35-7,0,,,,,,,,,,,45,10,-20,20,,1086,,,-1086,2.238,1,1000,1,10,,doi.org/10.1088/1674-1056/25/11/117502,auto-combustion,,,,,,,,,
187,tetragonal,i41/amd,0,Mn3O4,Mn3O4,60,60,60,sphere,Mn3O4,0,manganese oxide,manganomanganic oxide,1317-35-7,0,,,,,,,,,,,45,10,-20,20,32,575,,,-575,2.319,1,1000,1,10,,doi.org/10.1088/1674-1056/25/11/117502,auto-combustion,,,,,,,,,
188,tetragonal,i41/amd,0,Mn3O4,Mn3O4,90,90,90,sphere,Mn3O4,0,manganese oxide,manganomanganic oxide,1317-35-7,0,,,,,,,,,,,45,10,-20,20,,273,,,-273,2.339,1,1000,1,10,,doi.org/10.1088/1674-1056/25/11/117502,auto-combustion,,,,,,,,,
189,"cubic, cubic",fd3m,fm3m,Fe3O4@CoO,Fe3O4@CoO,10.2,10.2,10.2,sphere,Fe3O4,Co1O1,,,1317-61-9,1307-96-6,TEM,20,1,,,,,,,,,5,-60,60,,2900,,Quantum Design MPMS-XL 5,-1290,,,7000,7,70,,doi.org/10.1002/adfm.201706957,successive thermal decomposition of iron stearate and cobalt stearate,,,,,,,,,
190,"cubic, cubic",fd3m,fm3m,Fe3O4@CoO,Fe3O4@CoO,10.2,10.2,10.2,sphere,Fe3O4,Co1O1,,,1317-61-9,1307-96-6,TEM,20,1,,,,,,,,,5,-60,60,,7035,,Quantum Design MPMS-XL 5,-3430,,,7000,7,70,,doi.org/10.1002/adfm.201706957,successive thermal decomposition of iron stearate and cobalt stearate,,,,,,,,,
191,"cubic, cubic",fd3m,fm3m,Fe3O4@CoO,Fe3O4@CoO,10.2,10.2,10.2,sphere,Fe3O4,Co1O1,,,1317-61-9,1307-96-6,TEM,20,1,,,,,,,,,5,-60,60,33,11200,20.13,Quantum Design MPMS-XL 5,-4020,,,7000,7,70,,doi.org/10.1002/adfm.201706957,successive thermal decomposition of iron stearate and cobalt stearate,,,,,,,,,
192,"cubic, cubic",fd3m,fm3m,Fe3O4@CoO,Fe3O4@CoO,10.2,10.2,10.2,sphere,Fe3O4,Co1O1,,,1317-61-9,1307-96-6,TEM,20,1,,,,,,,,,5,-60,60,59,12700,37.76,Quantum Design MPMS-XL 5,-5100,,,7000,7,70,,doi.org/10.1002/adfm.201706957,successive thermal decomposition of iron stearate and cobalt stearate,,,,,,,,,
193,"hexagonal, cubic",P63/mmc,fm3m,Co/CoO,Co/CoO,6,6,6,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,20,1,,,,,,,,,10,-50,50,,7619,,,-3773.58,,1,5000,5,50,,doi.org/10.3390/nano7030061,gas condensation and partially oxidized in situ in the deposition chamber,,,,,,,,,
194,"hexagonal, cubic",P63/mmc,fm3m,Co/CoO,Co/CoO,6,6,6,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,20,1,,,,,,,,,10,-50,50,,6415.09,,,-5283,,1,5000,5,50,,doi.org/10.3390/nano7030061,gas condensation and partially oxidized in situ in the deposition chamber,,,,,,,,,
195,"hexagonal, cubic",P63/mmc,fm3m,Co/CoO,Co/CoO,6,6,6,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,20,1,,,,,,,,,10,-50,50,,6037.7,,,-5283,,1,5000,5,50,,doi.org/10.3390/nano7030061,gas condensation and partially oxidized in situ in the deposition chamber,,,,,,,,,
196,"hexagonal, cubic",P63/mmc,fm3m,Co-CoO,Co/CoO,15,15,15,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,200,1,,,,,,,,,5,-5,5,40.36,543.7435,9.4,Quantum Design,-147.76,1.632,1,1000,1,10,,doi.org/10.1063/1.4997883,,,,,,,,,,
197,"hexagonal, cubic",P63/mmc,fm3m,Co-CoO,Co/CoO,15,15,15,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,200,1,,,,,,,,,5,-5,5,38,546.7225,8.1,Quantum Design,-14.7,0.13,1,1000,1,10,,doi.org/10.1063/1.4997883,,,,,,,,,,
198,"hexagonal, cubic",P63/mmc,fm3m,Co-CoO,Co/CoO,15,15,15,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,200,1,,,,,,,,,5,-5,5,38.8,561.497,8.16,Quantum Design,177.297,-2.0245,1,1000,1,10,,doi.org/10.1063/1.4997883,,,,,,,,,,
199,"hexagonal, cubic",P63/mmc,fm3m,Co-CoO,Co/CoO,45,45,45,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,100,1,,,,,,,,,5,-5,5,4.5,241.85,1.432,Quantum Design,-54,0.354,1,1000,1,10,,doi.org/10.1063/1.4997883,,,,,,,,,,
200,"hexagonal, cubic",P63/mmc,fm3m,Co-CoO,Co/CoO,45,45,45,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,100,1,,,,,,,,,5,-5,5,4.5,239.63,1.479,Quantum Design,-7.74,0.023,1,1000,1,10,,doi.org/10.1063/1.4997883,,,,,,,,,,
201,"hexagonal, cubic",P63/mmc,fm3m,Co-CoO,Co/CoO,45,45,45,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,100,1,,,,,,,,,5,-5,5,4.5,241.8286,1.4195,Quantum Design,65.56,-0.255,1,1000,1,10,,doi.org/10.1063/1.4997883,,,,,,,,,,
202,trigonal,r3с,0,La0.67Sr0.33MnO3,La0.67Sr0.33MnO3,9.4,9.4,9.4,sphere,La0.67Sr0.33MnO3,0,LSMO,perovskite manganites,,0,TEM,20,1,,,,,,,,380,330,-50,50,13.46,,2.214,Quantum Design MPMS,,0,1,0,0,0,,doi.org/10.1063/1.4982893,sol-gel,,,,,,,,,
203,trigonal,r3с,0,La0.67Sr0.33MnO3,La0.67Sr0.33MnO3,9.4,9.4,9.4,sphere,La0.67Sr0.33MnO3,0,LSMO,perovskite manganites,,0,TEM,20,1,,,,,,,,380,300,-50,50,17.17,,5.4,Quantum Design MPMS,,0,1,0,0,0,,doi.org/10.1063/1.4982893,sol-gel,,,,,,,,,
204,trigonal,r3с,0,La0.67Sr0.33MnO3,La0.67Sr0.33MnO3,9.4,9.4,9.4,sphere,La0.67Sr0.33MnO3,0,LSMO,perovskite manganites,,0,TEM,20,1,,,,,,,,380,200,-50,50,35.38,,19.45,Quantum Design MPMS,,0,1,0,0,0,,doi.org/10.1063/1.4982893,sol-gel,,,,,,,,,
205,trigonal,r3с,0,La0.67Sr0.33MnO3,La0.67Sr0.33MnO3,9.4,9.4,9.4,sphere,La0.67Sr0.33MnO3,0,LSMO,perovskite manganites,,0,TEM,20,1,,,,,,,,380,5,-50,50,56.312,,33.184,Quantum Design MPMS,,0,1,0,0,0,,doi.org/10.1063/1.4982893,sol-gel,,,,,,,,,
206,trigonal,r3с,0,La0.67Sr0.33MnO3,La0.67Sr0.33MnO3,9.4,9.4,9.4,sphere,La0.67Sr0.33MnO3,0,LSMO,perovskite manganites,,0,TEM,20,1,,,,,,,,380,4,,,,191.28,13.9,Quantum Design MPMS,-1.46,0,1,1,0.001,0.01,,doi.org/10.1063/1.4982893,sol-gel,,,,,,,,,
207,trigonal,r3с,0,La0.67Sr0.33MnO3,La0.67Sr0.33MnO3,9.4,9.4,9.4,sphere,La0.67Sr0.33MnO3,0,LSMO,perovskite manganites,,0,TEM,20,1,,,,,,,,380,4,,,,168.829,13.9,Quantum Design MPMS,-12.3,0,1,10,0.01,0.1,,doi.org/10.1063/1.4982893,sol-gel,,,,,,,,,
208,trigonal,r3с,0,La0.67Sr0.33MnO3,La0.67Sr0.33MnO3,9.4,9.4,9.4,sphere,La0.67Sr0.33MnO3,0,LSMO,perovskite manganites,,0,TEM,20,1,,,,,,,,380,4,,,,198.97,15.658,Quantum Design MPMS,-25,1.579,1,100,0.1,1,,doi.org/10.1063/1.4982893,sol-gel,,,,,,,,,
209,cubic,fm3m,0,NiO,NiO,5.9,5.9,5.9,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,FESEM,2000,1,1,,0,0.15417,Rigaku Ultima (IV),5.9,NiO,,10,-10,10,,100.2,0.1,PPMS-Quanta Design E-2,2560,0.61,1,1000,1,10,,doi.org/10.1007/s10853-023-08853-1,combustion method,,,,,,,,,
